post_id,num_comments,num_duplicates
1isv37n,10,8
1i1n7a3,10,8
1hzy94o,12,7
1i2buye,14,7
1ipa0ko,9,7
1iyxzdu,11,7
109fl2p,8,6
9o66nn,8,6
1fhavep,11,6
1gvc6mt,8,6
1e9s2cm,9,6
1ftppdl,11,6
1j7gmnb,10,6
1gzy21e,10,6
1h3y7ub,10,6
1h6f64l,14,6
1an2n8s,8,6
1huwjtb,8,6
1j481gc,10,6
1ixvk3m,8,6
1isu3r2,9,6
1itsmwy,9,6
1icyyow,10,6
1iycqlj,10,6
1gpcsv4,8,6
1j42w9a,10,6
1fhkuij,8,6
1j82egn,9,6
1j832jp,9,6
1g9imeo,11,6
1ifrfhi,10,6
2j8lgz,8,5
1h39h52,9,5
1h4shlp,7,5
1j6u110,9,5
1j79cpp,10,5
1j80u4v,9,5
1j7cuw0,11,5
1j7c17m,10,5
1j7a5vl,7,5
1fqbaer,9,5
amy3bx,8,5
1eplku1,13,5
1j7pui5,7,5
26qybm,8,5
1gai4gp,10,5
89ysmp,11,5
qpb8v8,10,5
15h4h1,9,5
1besiro,9,5
1aps3zm,9,5
1in3bdc,10,5
c3jl1x,9,5
hjddcj,11,5
1ix45d8,10,5
p72cem,11,5
1ipsl1p,9,5
1j5hac0,9,5
1j1ioca,10,5
1i9s767,8,5
1j62098,8,5
1j5v8ek,7,5
1hyvdpj,8,5
1j69xga,9,5
1hw9wtp,9,5
1j13m0f,7,5
1i98y3r,7,5
1isqds3,9,5
1iad4iv,9,5
1ibk2be,9,5
1j551kq,10,5
1j69p53,9,5
v284vm,9,4
afwfqm,10,4
108plfc,8,4
r4tff0,8,4
7wj2vq,8,4
1enfnbh,8,4
1end7na,8,4
1eawpdq,9,4
1gutrkl,8,4
1j6rxkz,9,4
1j73zex,9,4
1j703vv,7,4
39h7nu,9,4
1coouir,10,4
1g7ma75,9,4
1g04p6b,9,4
a03ohu,11,4
1hqe93p,14,4
1j6n4us,14,4
1j6glwl,10,4
1hjgf4y,8,4
1hqbo9d,11,4
1j2mq8g,10,4
1hh5utn,7,4
1i5au1d,7,4
1i73otd,9,4
1j2oawv,9,4
1j4650l,8,4
1j3mrbk,9,4
1j3gh62,8,4
1iz80xk,9,4
1ik6xjh,9,4
1itepsi,11,4
1iv8ets,8,4
1ivtkz4,8,4
14eeoxl,8,4
hlrpgt,6,4
1as4tcb,8,4
16agvan,10,4
15bvcqj,8,4
1792g51,10,3
18aan3i,7,3
18z48tl,8,3
1b36rvl,8,3
1ivcn9y,7,3
1iqign5,8,3
kf65gd,9,3
i1a9n8,9,3
biqcoh,7,3
1iz3cso,8,3
1iwn9f1,7,3
1ivzm9r,10,3
1ivylsj,8,3
1iw1z87,10,3
1iqwy12,13,3
1iq9hn1,9,3
1ixm1ci,7,3
1igf2xs,8,3
1iizrcy,8,3
1ideueh,8,3
1ib0uu1,9,3
1ieylte,8,3
1hqdsrz,7,3
1h7kz0x,8,3
1j65dhf,8,3
1j46mrk,11,3
1hemru7,8,3
1hlld9e,9,3
1hk1ot7,7,3
1j434x9,10,3
1j3dzxt,10,3
1j25j95,9,3
1j24ll5,7,3
1j1u5kq,8,3
8gu5gp,9,3
1dlgo3b,10,3
1f0dceo,12,3
2lo3a9,11,3
2ozrqj,11,3
1jexkl,8,3
1j8m7l9,8,3
1j6vudx,8,3
1j720h6,10,3
1gh1ng2,6,3
1ffbt05,8,3
1j7vfpp,7,3
1j8cg6z,9,3
1j7n8rq,7,3
487cmn,7,3
5p0scl,9,3
1f06ems,8,3
1ha7qds,7,3
1hb50o7,6,3
1hym83z,7,3
1ia4a41,7,3
1j0w7jx,9,3
1izwvn6,8,3
1i7z64e,8,3
1j2g5yq,9,3
1ia41ud,7,3
1i91wiz,9,3
1izs2ml,8,2
1itol92,10,2
1isyq4t,13,2
bxtz38,7,2
1iom8dl,7,2
1iyq2mi,8,2
1iu4mud,5,2
1ipmzs2,8,2
1itqnps,9,2
1aej58m,8,2
1iyl3ej,8,2
1iw3ml0,8,2
b0b1g1,4,2
xwdzcq,9,2
ao7xod,8,2
akiy8a,8,2
1fbcpns,6,2
1c3jlbp,11,2
7xf41c,9,2
1s5wfc,6,2
1ctnxol,7,2
9z3c3i,7,2
1j88pex,10,2
1j7u9b4,8,2
1j7px24,3,2
1gal2g5,9,2
1j70tvk,8,2
1j6t0vr,9,2
1ggy4rt,6,2
1fnb92f,7,2
1j8jmd2,7,2
1j7f0xi,9,2
1j5s3st,11,2
1j5504x,13,2
1i0s1fn,7,2
1j13sp1,7,2
1j3susq,8,2
1j2qar8,10,2
1ihwin7,5,2
1iyxooq,3,2
1iequak,7,2
1ilx8ts,9,2
1ivjbj0,8,2
1ix219k,12,2
h9hm81,7,2
ch4x7v,8,2
ht5c9d,13,2
hw33ye,9,2
1iqiy4x,8,2
qc4pvo,9,2
1imf5q9,9,2
1j54jwt,4,2
1j5xvaa,9,2
1gvxful,9,2
1j7o13d,8,2
1j7ziv6,4,2
1j86ivj,7,2
1j8a25y,8,2
1j8dty3,8,2
1j4frv5,7,2
1gyl9cf,10,2
1h2ik9o,9,2
1j6091h,11,2
1j68o2m,9,2
1i1b6ti,5,2
1i11e1j,8,2
1izx573,9,2
1izufe6,7,2
1j1crux,7,2
1j3mcm1,8,2
17ic9l6,7,1
1aex3tp,9,1
1im7bsb,13,1
bq83av,11,1
1aql8qm,6,1
1bcp53p,10,1
1izlbkf,11,1
1iz81uq,9,1
1iz7m74,11,1
1iy6kwp,12,1
1iwnrbi,13,1
1iw35mn,13,1
1ixwusj,6,1
1ifvog7,9,1
1ieitha,7,1
1ib58d8,8,1
1ivmpd9,14,1
1iqxb64,8,1
1irkqvl,9,1
1iu5c6p,10,1
1iu91h2,15,1
1iugp1h,4,1
1ingzdk,14,1
1imvxax,10,1
1iq6vn8,10,1
hpuczj,14,1
1i47pgq,10,1
1j0chug,6,1
1j1v6i2,8,1
1j1yog5,6,1
1i8zbol,8,1
1i79j6x,8,1
1j4huhf,9,1
1j4k6ud,8,1
1j24unv,6,1
1j2wb3c,10,1
1j3mhg8,8,1
1j45ele,9,1
1hap52b,8,1
1grii2s,7,1
1j6ha0y,8,1
1j6npxr,11,1
1j5vg9r,8,1
1j66bjh,13,1
1hvcx6z,11,1
1j5m4dg,12,1
1hg1upa,12,1
1hlctq1,13,1
1j707b5,11,1
1j74zsf,6,1
1j76xc5,10,1
1fo8115,11,1
1gicxf7,4,1
1gorkvj,12,1
1j8ibmd,8,1
1j7lsg5,10,1
1j7o0og,10,1
1j7v5d9,13,1
2d55kp,7,1
1mbw4a,12,1
1bnb4wp,8,1
3e2kv9,7,1
1d34ogm,12,1
1ck4y2j,10,1
9if3ui,8,1
1fbil8o,4,1
bemib3,14,1
119djk,6,1
10a06wf,6,1
wddk2m,12,1
