post_id,num_comments,num_duplicates
1iu4mud,8,1
1itepsi,9,1
1it8m0o,11,1
1ismhvd,10,1
1icu2ar,11,1
1iccysx,10,1
1iqkrmf,10,1
1iqiy4x,8,1
1im7bsb,12,1
1i7fld8,9,1
1iequak,8,1
1idpiti,8,1
1j8m6i7,7,1
1j8jmd2,7,1
1j854p2,11,1
1hu39h1,8,1
1iazs4v,9,1
1ia61oe,8,1
1i9f9v3,11,1
1i5cik5,8,1
1i5au1d,3,1
1i54tav,9,1
1i13mg1,8,1
1hxwbyj,9,1
1j83lue,8,1
1j832jp,7,1
440l98,8,1
39h7nu,6,1
2jfj3c,9,1
2i9wz1,7,1
1gmvdkd,10,1
1gjdeze,9,1
1ht8e1d,10,1
1hg1upa,11,1
1hdexql,10,1
1hcw1o5,7,1
1fqaa1p,12,1
1h90t55,9,1
1h39h52,8,1
1ggy4rt,9,1
1g8p1h,11,1
1ftppdl,12,1
60g5nw,9,1
1fhkuij,8,1
1f6ho3c,5,1
1f4qlvf,8,1
1etwmnq,9,1
scwpk,13,1
mo5jh2,8,1
1097wjq,9,1
t8mqv1,7,1
143a21h,8,1
