post_id,num_comments,num_duplicates
xd9vh4,13,11
1irr1xv,14,10
1j3jq1r,12,9
1hffdkd,13,9
1j6vudx,12,9
1aql8qm,12,9
1ie7ag2,12,9
1j481gc,13,8
1iu8wpf,15,8
1iwi3ik,11,8
1hdq27h,13,8
1j7r4az,11,8
1ihp2wr,11,8
1c66x8o,12,8
1i02ss2,12,7
1irsjye,11,7
1hepuy3,8,7
1gutrkl,10,7
1j1d6mo,12,7
1j24unv,9,7
1j3whvy,10,7
1fmzksw,11,7
1g04p6b,14,7
1ipsl1p,10,7
1j7ziv6,10,7
31r5yx,11,7
bgxtvl,13,7
1j87ql7,10,7
1erfvb2,11,6
sc2m7y,11,6
e42e5t,10,6
1bd5ftr,13,6
1iccysx,9,6
1i91wiz,12,6
1isha72,9,6
1j82i5x,8,6
1im6odb,14,6
1j60v8x,10,6
1j63xoy,13,6
1g3p7qs,9,6
1gorkvj,10,6
1j64raa,14,6
1097wjq,11,6
1ixkfb8,14,6
1izxf8j,10,6
1j7jnvq,10,6
3dgdys,11,6
1hekcus,9,6
1j5r478,10,5
aturn0,10,5
1j4w04u,13,5
odazfv,14,5
1j4u9pp,7,5
1j5xm4i,12,5
1j42487,13,5
1j5csql,8,5
1dlpjt7,9,5
19x6o7,10,5
1g2wr43,13,5
1hlhbqj,13,5
1irp2ho,13,5
1irw0ty,12,5
1izdlh8,7,5
1iuweeo,11,5
1iwnrbi,13,5
738rht,11,5
1j2oeil,15,5
1j6cpry,12,5
1j27dtz,11,5
1j1grjj,14,5
1ix8pi3,7,5
1j694hu,11,5
1j0dbbn,13,5
1j7bfqp,11,5
1i54tav,11,5
1ikha61,14,5
1il4s3u,8,5
1il94st,14,5
1ikdur0,14,5
1gp0960,11,5
1hvcx6z,11,5
1j7vfpp,10,5
1j7lyq3,15,5
1icirpl,9,5
1id4vt7,7,5
1if5zo6,14,5
1j84g7j,12,5
hvm7xy,12,5
hxwsdr,13,5
hlrpgt,12,5
bemib3,13,4
bpfsiw,12,4
1byp5fx,13,4
bd6jsn,13,4
ban6xh,10,4
hzsze2,11,4
16ml1o5,9,4
119djk,10,4
1835ps7,11,4
1j8avg7,13,4
1ifvog7,9,4
1ie32yu,8,4
1i035bu,11,4
1hxg2hm,12,4
1hqbo9d,6,4
1innvha,13,4
1ijhdnc,10,4
1j7nss5,13,4
1i4bbga,12,4
1i7fqk8,13,4
1icz86z,11,4
1j8i517,14,4
1icyyow,10,4
1j7f15h,13,4
1hfnlw2,11,4
1hix61d,9,4
1j1pw9f,13,4
1iz7m74,11,4
1h90t55,10,4
1ixkmam,8,4
1h39h52,11,4
1j0ilpw,8,4
1j28vg3,8,4
1j1brr1,11,4
1j37dpe,11,4
uibw86,13,4
hseqz2,12,4
1j6669p,12,4
1gboppy,12,4
1f38xwq,6,4
1j61fns,13,4
1j3zt8z,12,4
1j7anid,12,4
1j76ne0,9,4
1ivx36b,9,4
1j7gzuo,9,4
1itcj2q,12,4
1hcgk2c,11,4
1j6t0vr,11,4
1hojap9,14,3
1gusswr,11,3
1hlctq1,13,3
1ijuo3f,10,3
1j8edco,12,3
1gq64be,13,3
1ixxcnq,5,3
1j6uxnj,12,3
1j6fmjh,6,3
1irs7j3,10,3
1iz81uq,11,3
1iu87sp,13,3
1j70y0d,12,3
1j74apd,12,3
1j72dgv,12,3
1j82pio,13,3
1j7z9vl,11,3
17e33wr,10,3
17hjq9a,12,3
12i893h,15,3
16g7qfj,10,3
bjjw5m,14,3
1bodevq,11,3
1iepg7a,12,3
2iq20x,12,3
1i4ctbo,10,3
1j8izmn,13,3
1iqig6t,12,3
1iq2fyn,14,3
1j854p2,5,3
1icu2ar,11,3
1j8azjt,15,3
1j8aspw,6,3
1iktelr,11,3
1imd5ux,12,3
1id7hx0,13,3
1j8c0ej,12,3
1iy9j4n,12,3
1j8dtra,8,3
10x5cqu,13,3
emepak,12,3
1cqiqir,8,3
1883jbd,8,3
1j4sqkd,8,3
18iu5y,8,3
1j17ypu,13,3
1j2ontt,11,3
1j304jo,11,3
1j6aeod,12,3
1j4ba8y,12,3
1j5efov,8,3
scwpk,12,3
1j511tm,10,3
1cjpl4v,9,3
1j27uft,12,3
1fkmefq,12,3
8wge4b,14,3
1j1eluv,9,3
1j28nsz,11,3
1j2fnxb,6,3
1j298ev,13,3
1ge4nwx,9,3
1j703kr,11,3
1izpxcq,10,3
1j6i38w,13,3
7pie39,11,3
