post_id,num_comments,num_duplicates
1gal2g5,4,1
1ut02o,3,1
1y3k1k,2,1
1fp6m67,10,1
1fhmkc9,5,1
1eggaix,9,1
1eh6dp3,8,1
1d23ua8,8,1
2wdlmp,2,1
26ghou,4,1
2lvxp8,5,1
1j8i517,10,1
1g8l82p,10,1
31r5yx,3,1
4gvw9w,10,1
7s2r1x,4,1
bemib3,7,1
10azwd6,5,1
zeqovz,3,1
