post_id,num_comments,num_duplicates
1ir6ekl,24,20
1irvdmd,20,18
1ia41ud,19,17
1j0rj5y,20,17
1iyeoy0,23,17
3bnq53,16,14
1f7v913,15,14
10b87h5,15,13
1j0n3yw,19,13
1isvm57,18,12
1eawpdq,14,11
1j84uvj,15,7
1gorkvj,10,7
1idsasj,11,7
1ihjtjy,17,7
1fookzy,11,7
1j5yjcn,11,6
1j42drb,8,5
hseqz2,10,5
1hu42dx,9,5
1is5zwi,9,5
1iil3w4,8,5
liy1j8,10,5
1j8a9ox,10,5
1fnf9pa,10,4
1j64eb2,10,4
1j6091h,10,4
hrjgpm,10,4
1j6p4qd,9,4
8pc1e4,7,4
1imvxax,11,4
1iqxb64,6,4
17lg2ae,10,4
12i893h,10,4
16ml1o5,10,4
1iej3lw,10,4
1ijuo3f,9,3
1j40zdn,10,3
1j4i843,12,3
1j4r33j,10,3
1j0brof,8,3
1iad4iv,5,3
1i6b58t,6,3
1id5ppj,10,3
1cmamk1,10,3
1gefvfn,7,3
1j6m6hs,10,3
1j0hra3,6,3
3c771r,12,3
3nrm6c,10,3
ag0fyg,10,3
1j79l6g,10,3
1j5r478,9,3
1gitms8,9,3
1bsyypf,10,3
1ismhvd,10,2
ph511m,10,2
krsyec,10,2
2wh7g0,8,2
hqfd49,10,2
qc4pvo,5,2
1j7lyq3,9,2
2u0mkn,10,2
i0c651,10,2
1hjy59l,10,2
1iktelr,5,2
1iyofd0,7,2
1j7z4dm,11,2
1iwn3zq,5,2
1j5avli,9,2
1iwnomz,4,2
1iuugb1,6,2
1e8qm00,10,2
1bepp9q,10,2
1i6x1fw,5,2
1hlhbqj,10,2
1gm6qyn,5,2
1g0ix8e,8,2
17hjq9a,7,2
14rmly4,7,2
1gyp8w1,6,1
1hn6d5m,6,1
1835ps7,7,1
174ernl,5,1
1adtv94,5,1
1bo1sq,3,1
1fv12go,5,1
1g8trxy,6,1
1iq9gtk,7,1
1ir6u7h,10,1
1iisdzk,12,1
1iknin9,3,1
1iij25z,5,1
1h90ep9,7,1
1h2csvp,10,1
1h62y2t,10,1
1iu7i08,4,1
1iy9j4n,10,1
1ix36dq,3,1
1ivwb75,10,1
1ix60p9,7,1
1j3mcm1,3,1
1izz7om,10,1
1j1lk09,6,1
1j5zm02,2,1
1j5u4vx,7,1
1j4frv5,4,1
1j481gc,3,1
1j30aez,10,1
2851ty,14,1
2opt61,10,1
1j7r4az,5,1
1j7eqp3,10,1
1j7hcmd,10,1
1j8l5no,8,1
1j8i517,5,1
1j8fzp5,3,1
1j8cw5l,10,1
1j7nss5,7,1
a9xett,8,1
